Teams,Borda Points
michigan-wolverines,1539
washington-huskies,1499
texas-longhorns,1375
florida-state-seminoles,1358
alabama-crimson-tide,1329
georgia-bulldogs,1256
ohio-state-buckeyes,1185
oregon-ducks,1119
missouri-tigers,1014
penn-state-nittany-lions,960
ole-miss-rebels,944
oklahoma-sooners,867
lsu-tigers,823
arizona-wildcats,740
notre-dame-fighting-irish,634
louisville-cardinals,584
southern-methodist-mustangs,432
liberty-flames,424
north-carolina-state-wolfpack,378
iowa-hawkeyes,357
oregon-state-beavers,309
oklahoma-state-cowboys,256
tulane-green-wave,205
james-madison-dukes,177
tennessee-volunteers,99
clemson-tigers,88
troy-trojans,67
kansas-state-wildcats,40
utah-utes,39
toledo-rockets,23
kansas-jayhawks,8
kentucky-wildcats,4
