Teams,Borda Points
michigan-wolverines,1525
washington-huskies,1459
texas-longhorns,1356
georgia-bulldogs,1328
alabama-crimson-tide,1321
oregon-ducks,1175
florida-state-seminoles,1175
missouri-tigers,1092
ole-miss-rebels,1030
ohio-state-buckeyes,1006
arizona-wildcats,861
lsu-tigers,853
penn-state-nittany-lions,796
notre-dame-fighting-irish,745
oklahoma-sooners,691
oklahoma-state-cowboys,530
tennessee-volunteers,443
louisville-cardinals,412
kansas-state-wildcats,403
clemson-tigers,330
north-carolina-state-wolfpack,257
southern-methodist-mustangs,195
iowa-hawkeyes,159
liberty-flames,153
west-virginia-mountaineers,105
oregon-state-beavers,101
tulane-green-wave,80
james-madison-dukes,58
memphis-tigers,40
usc-trojans,39
utah-utes,15
troy-trojans,11
air-force-falcons,9
duke-blue-devils,9
toledo-rockets,7
miami-oh-redhawks,4
ucla-bruins,4
utsa-roadrunners,4
kentucky-wildcats,4
wyoming-cowboys,3
northwestern-wildcats,3
ohio-bobcats,1
