Teams,Borda Points
georgia-bulldogs,1569
michigan-wolverines,1485
alabama-crimson-tide,1424
florida-state-seminoles,1384
ohio-state-buckeyes,1308
usc-trojans,1255
penn-state-nittany-lions,1212
washington-huskies,1107
tennessee-volunteers,975
notre-dame-fighting-irish,967
texas-longhorns,937
utah-utes,919
oregon-ducks,824
lsu-tigers,709
kansas-state-wildcats,586
oregon-state-beavers,566
north-carolina-tar-heels,556
oklahoma-sooners,439
wisconsin-badgers,424
ole-miss-rebels,393
duke-blue-devils,365
colorado-buffaloes,288
texas-am-aggies,281
clemson-tigers,151
iowa-hawkeyes,86
ucla-bruins,64
arkansas-razorbacks,30
tcu-horned-frogs,30
kentucky-wildcats,17
pittsburgh-panthers,9
mississippi-state-bulldogs,8
north-carolina-state-wolfpack,6
miami-fl-hurricanes,6
troy-trojans,5
auburn-tigers,4
texas-state-bobcats,4
fresno-state-bulldogs,4
wyoming-cowboys,4
iowa-state-cyclones,3
minnesota-golden-gophers,3
houston-cougars,2
louisville-cardinals,2
illinois-fighting-illini,2
james-madison-dukes,2
texas-tech-red-raiders,2
washington-state-cougars,2
ucf-knights,1
