Teams,Borda Points
georgia-bulldogs,1541
michigan-wolverines,1457
texas-longhorns,1358
florida-state-seminoles,1355
usc-trojans,1275
ohio-state-buckeyes,1272
penn-state-nittany-lions,1199
washington-huskies,1174
notre-dame-fighting-irish,1049
oregon-ducks,928
utah-utes,907
lsu-tigers,793
alabama-crimson-tide,781
oregon-state-beavers,705
ole-miss-rebels,650
oklahoma-sooners,605
north-carolina-tar-heels,567
duke-blue-devils,533
colorado-buffaloes,502
miami-fl-hurricanes,370
washington-state-cougars,293
ucla-bruins,220
iowa-hawkeyes,140
florida-gators,104
clemson-tigers,88
missouri-tigers,85
kansas-state-wildcats,53
tcu-horned-frogs,22
fresno-state-bulldogs,21
tulane-green-wave,18
kansas-jayhawks,17
kentucky-wildcats,11
maryland-terrapins,4
byu-cougars,3
wisconsin-badgers,2
syracuse-orange,2
louisville-cardinals,1
auburn-tigers,1
