Teams,Borda Points
georgia-bulldogs,1534
michigan-wolverines,1465
ohio-state-buckeyes,1385
florida-state-seminoles,1368
oklahoma-sooners,1256
penn-state-nittany-lions,1253
washington-huskies,1220
oregon-ducks,1132
texas-longhorns,1036
usc-trojans,982
alabama-crimson-tide,956
north-carolina-tar-heels,880
ole-miss-rebels,736
louisville-cardinals,718
oregon-state-beavers,714
utah-utes,559
duke-blue-devils,472
ucla-bruins,434
tennessee-volunteers,409
washington-state-cougars,405
notre-dame-fighting-irish,367
lsu-tigers,321
kansas-jayhawks,106
kentucky-wildcats,98
miami-fl-hurricanes,74
missouri-tigers,67
air-force-falcons,43
wisconsin-badgers,43
west-virginia-mountaineers,29
tulane-green-wave,27
clemson-tigers,17
maryland-terrapins,9
james-madison-dukes,8
iowa-hawkeyes,7
texas-am-aggies,5
