Teams,Borda Points
georgia-bulldogs,1536
michigan-wolverines,1504
ohio-state-buckeyes,1454
florida-state-seminoles,1408
washington-huskies,1325
oklahoma-sooners,1267
texas-longhorns,1150
oregon-ducks,1133
alabama-crimson-tide,1071
penn-state-nittany-lions,999
oregon-state-beavers,922
ole-miss-rebels,889
utah-utes,868
notre-dame-fighting-irish,721
lsu-tigers,688
missouri-tigers,600
north-carolina-tar-heels,526
louisville-cardinals,444
duke-blue-devils,397
tennessee-volunteers,339
tulane-green-wave,300
ucla-bruins,282
usc-trojans,228
james-madison-dukes,218
florida-gators,44
liberty-flames,25
kansas-state-wildcats,22
miami-fl-hurricanes,18
fresno-state-bulldogs,12
oklahoma-state-cowboys,8
toledo-rockets,5
kentucky-wildcats,3
rutgers-scarlet-knights,3
unlv-rebels,2
wisconsin-badgers,2
