Teams,Borda Points
georgia-bulldogs,1545
ohio-state-buckeyes,1478
texas-longhorns,1418
alabama-crimson-tide,1309
notre-dame-fighting-irish,1240
ole-miss-rebels,1212
oregon-ducks,1197
penn-state-nittany-lions,1146
missouri-tigers,968
michigan-wolverines,935
utah-utes,897
miami-fl-hurricanes,893
usc-trojans,811
tennessee-volunteers,785
oklahoma-sooners,705
oklahoma-state-cowboys,613
kansas-state-wildcats,608
lsu-tigers,419
kansas-jayhawks,358
arizona-wildcats,353
iowa-hawkeyes,307
louisville-cardinals,197
north-carolina-state-wolfpack,154
clemson-tigers,148
texas-am-aggies,106
boston-college-eagles,53
boise-state-broncos,52
iowa-state-cyclones,34
memphis-tigers,31
nebraska-cornhuskers,29
southern-methodist-mustangs,27
washington-huskies,21
liberty-flames,13
vanderbilt-commodores,11
auburn-tigers,10
wisconsin-badgers,8
north-carolina-tar-heels,5
tulane-green-wave,4
kentucky-wildcats,3
appalachian-state-mountaineers,3
utsa-roadrunners,3
west-virginia-mountaineers,3
arkansas-razorbacks,2
colorado-buffaloes,1
unlv-rebels,1
