Teams,Borda Points
georgia-bulldogs,1566
texas-longhorns,1492
ohio-state-buckeyes,1476
alabama-crimson-tide,1331
ole-miss-rebels,1323
missouri-tigers,1125
tennessee-volunteers,1107
penn-state-nittany-lions,1090
oregon-ducks,1077
miami-fl-hurricanes,1073
usc-trojans,1022
utah-utes,1010
oklahoma-state-cowboys,734
kansas-state-wildcats,702
oklahoma-sooners,672
lsu-tigers,521
michigan-wolverines,504
notre-dame-fighting-irish,428
louisville-cardinals,384
arizona-wildcats,382
iowa-state-cyclones,310
clemson-tigers,293
nebraska-cornhuskers,142
boston-college-eagles,117
northern-illinois-huskies,114
illinois-fighting-illini,101
boise-state-broncos,77
texas-am-aggies,68
syracuse-orange,65
memphis-tigers,38
washington-huskies,27
iowa-hawkeyes,24
kansas-jayhawks,22
south-carolina-gamecocks,12
liberty-flames,9
wisconsin-badgers,9
unlv-rebels,7
north-carolina-tar-heels,7
california-golden-bears,4
byu-cougars,2
ucf-knights,1
tcu-horned-frogs,1
