Teams,Borda Points
texas-longhorns,1527
georgia-bulldogs,1482
ohio-state-buckeyes,1432
alabama-crimson-tide,1328
tennessee-volunteers,1283
ole-miss-rebels,1269
miami-fl-hurricanes,1140
oregon-ducks,1073
penn-state-nittany-lions,1052
utah-utes,1037
missouri-tigers,1009
michigan-wolverines,813
usc-trojans,703
lsu-tigers,650
louisville-cardinals,566
notre-dame-fighting-irish,558
clemson-tigers,558
iowa-state-cyclones,549
oklahoma-state-cowboys,423
oklahoma-sooners,409
byu-cougars,365
kansas-state-wildcats,206
texas-am-aggies,99
washington-state-cougars,88
indiana-hoosiers,87
boise-state-broncos,85
boston-college-eagles,67
unlv-rebels,66
pittsburgh-panthers,52
nebraska-cornhuskers,33
iowa-hawkeyes,31
james-madison-dukes,19
south-carolina-gamecocks,9
liberty-flames,5
arkansas-razorbacks,4
arizona-wildcats,3
southern-methodist-mustangs,3
ucf-knights,3
navy-midshipmen,2
