Teams,Borda Points
texas-longhorns,1527
georgia-bulldogs,1482
ohio-state-buckeyes,1432
alabama-crimson-tide,1328
tennessee-volunteers,1283
ole-miss-rebels,1269
miami-fl-hurricanes,1139
oregon-ducks,1073
penn-state-nittany-lions,1051
utah-utes,1037
missouri-tigers,1009
michigan-wolverines,805
usc-trojans,690
lsu-tigers,637
louisville-cardinals,554
notre-dame-fighting-irish,549
clemson-tigers,542
iowa-state-cyclones,532
illinois-fighting-illini,460
oklahoma-state-cowboys,390
oklahoma-sooners,376
byu-cougars,328
kansas-state-wildcats,170
texas-am-aggies,80
washington-state-cougars,71
boise-state-broncos,71
indiana-hoosiers,66
boston-college-eagles,58
pittsburgh-panthers,41
iowa-hawkeyes,26
nebraska-cornhuskers,25
james-madison-dukes,12
south-carolina-gamecocks,7
liberty-flames,4
ucf-knights,3
arkansas-razorbacks,3
arizona-wildcats,2
southern-methodist-mustangs,2
navy-midshipmen,1
