Teams,Borda Points
alabama-crimson-tide,58.5
florida-state-seminoles,28.399999999999984
ohio-state-buckeyes,18.342857142857145
michigan-wolverines,14.78495670995669
clemson-tigers,14.555194805194787
houston-cougars,13.034126984126969
stanford-cardinal,8.911205461205466
washington-huskies,6.596553840260926
texas-longhorns,5.9442522948327845
louisville-cardinals,5.848830598366197
wisconsin-badgers,5.84874959491832
michigan-state-spartans,4.878272469928482
oklahoma-sooners,4.504467970558631
iowa-hawkeyes,4.481492068751458
tennessee-volunteers,4.385439204123077
georgia-bulldogs,3.9490946592107563
texas-am-aggies,3.866616080484029
notre-dame-fighting-irish,3.6932031191389747
ole-miss-rebels,3.3787619473600077
lsu-tigers,3.0949629275467188
oregon-ducks,2.7685275788583765
baylor-bears,2.5933382516886354
florida-gators,2.0100943875227095
miami-fl-hurricanes,1.8938869868035977
arkansas-razorbacks,1.8500690196493812
tcu-horned-frogs,0.8919732879629907
san-diego-state-aztecs,0.7831090076971086
utah-utes,0.5990045319840717
pittsburgh-panthers,0.49468316707447146
ucla-bruins,0.47911807341340246
boise-state-broncos,0.4637740761653805
oklahoma-state-cowboys,0.2705404816388798
north-carolina-tar-heels,0.24712121212121216
nebraska-cornhuskers,0.1727639751552795
auburn-tigers,0.08928571428571427
central-michigan-chippewas,0.045454545454545456
colorado-buffaloes,0.041666666666666664
arizona-state-sun-devils,0.04
cincinnati-bearcats,0.04
