Season,Week,Official Borda,Borda-Top1,Borda-Top3,Borda-Top5,Borda-Top10,Dowdall
2014,1,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,2,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,3,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,4,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,5,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,6,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,7,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,8,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs
2014,9,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs
2014,10,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs
2014,11,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs
2014,12,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs,mississippi-state-bulldogs
2014,13,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,14,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles,florida-state-seminoles
2014,15,alabama-crimson-tide,florida-state-seminoles,alabama-crimson-tide,alabama-crimson-tide,alabama-crimson-tide,florida-state-seminoles
2014,16,alabama-crimson-tide,alabama-crimson-tide,alabama-crimson-tide,alabama-crimson-tide,alabama-crimson-tide,alabama-crimson-tide
2014,17,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,1,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,3,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,4,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,5,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,6,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,7,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
2015,8,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes,ohio-state-buckeyes
