Teams,Borda Points
georgia-bulldogs,602
ohio-state-buckeyes,560
oregon-ducks,473
texas-longhorns,456
alabama-crimson-tide,330
ole-miss-rebels,267
notre-dame-fighting-irish,193
penn-state-nittany-lions,144
michigan-wolverines,108
florida-state-seminoles,94
missouri-tigers,70
utah-utes,62
miami-fl-hurricanes,15
lsu-tigers,11
tennessee-volunteers,7
oklahoma-sooners,6
clemson-tigers,6
arizona-wildcats,3
oklahoma-state-cowboys,2
texas-am-aggies,1
kansas-state-wildcats,0
north-carolina-state-wolfpack,0
iowa-hawkeyes,0
usc-trojans,0
nebraska-cornhuskers,0
kansas-jayhawks,0
iowa-state-cyclones,0
washington-huskies,0
boise-state-broncos,0
virginia-tech-hokies,0
wisconsin-badgers,0
liberty-flames,0
southern-methodist-mustangs,0
louisville-cardinals,0
memphis-tigers,0
tulane-green-wave,0
utsa-roadrunners,0
west-virginia-mountaineers,0
appalachian-state-mountaineers,0
auburn-tigers,0
kentucky-wildcats,0
colorado-buffaloes,0
