TeamA,TeamB,A>B,B>A
alabama-crimson-tide,arizona-state-sun-devils,60,0
alabama-crimson-tide,auburn-tigers,49,11
alabama-crimson-tide,baylor-bears,59,1
alabama-crimson-tide,boise-state-broncos,60,0
alabama-crimson-tide,byu-cougars,60,0
alabama-crimson-tide,cincinnati-bearcats,60,0
alabama-crimson-tide,clemson-tigers,60,0
alabama-crimson-tide,duke-blue-devils,60,0
alabama-crimson-tide,florida-gators,60,0
alabama-crimson-tide,florida-state-seminoles,1,59
alabama-crimson-tide,georgia-bulldogs,60,0
alabama-crimson-tide,iowa-hawkeyes,60,0
alabama-crimson-tide,kansas-state-wildcats,60,0
alabama-crimson-tide,louisiana-lafayette-ragin-cajuns,60,0
alabama-crimson-tide,louisville-cardinals,60,0
alabama-crimson-tide,lsu-tigers,60,0
alabama-crimson-tide,marshall-thundering-herd,60,0
alabama-crimson-tide,miami-fl-hurricanes,60,0
alabama-crimson-tide,michigan-state-spartans,58,2
alabama-crimson-tide,michigan-wolverines,60,0
alabama-crimson-tide,mississippi-state-bulldogs,60,0
alabama-crimson-tide,missouri-tigers,59,1
alabama-crimson-tide,navy-midshipmen,60,0
alabama-crimson-tide,nebraska-cornhuskers,60,0
alabama-crimson-tide,nevada-wolf-pack,60,0
alabama-crimson-tide,north-carolina-tar-heels,60,0
alabama-crimson-tide,northwestern-wildcats,60,0
alabama-crimson-tide,notre-dame-fighting-irish,60,0
alabama-crimson-tide,ohio-state-buckeyes,50,10
alabama-crimson-tide,oklahoma-sooners,35,25
alabama-crimson-tide,oklahoma-state-cowboys,60,0
alabama-crimson-tide,ole-miss-rebels,60,0
alabama-crimson-tide,oregon-ducks,37,23
alabama-crimson-tide,oregon-state-beavers,60,0
alabama-crimson-tide,penn-state-nittany-lions,60,0
alabama-crimson-tide,south-carolina-gamecocks,57,3
alabama-crimson-tide,stanford-cardinal,59,1
alabama-crimson-tide,tcu-horned-frogs,60,0
alabama-crimson-tide,texas-am-aggies,60,0
alabama-crimson-tide,texas-longhorns,60,0
alabama-crimson-tide,texas-tech-red-raiders,60,0
alabama-crimson-tide,ucf-knights,60,0
alabama-crimson-tide,ucla-bruins,57,3
alabama-crimson-tide,usc-trojans,60,0
alabama-crimson-tide,utah-state-aggies,60,0
alabama-crimson-tide,vanderbilt-commodores,60,0
alabama-crimson-tide,virginia-tech-hokies,60,0
alabama-crimson-tide,washington-huskies,60,0
alabama-crimson-tide,wisconsin-badgers,60,0
arizona-state-sun-devils,auburn-tigers,0,60
arizona-state-sun-devils,baylor-bears,0,60
arizona-state-sun-devils,boise-state-broncos,48,3
arizona-state-sun-devils,byu-cougars,48,1
arizona-state-sun-devils,cincinnati-bearcats,48,1
arizona-state-sun-devils,clemson-tigers,17,42
arizona-state-sun-devils,duke-blue-devils,45,10
arizona-state-sun-devils,florida-gators,46,8
arizona-state-sun-devils,florida-state-seminoles,0,60
arizona-state-sun-devils,georgia-bulldogs,6,54
arizona-state-sun-devils,iowa-hawkeyes,45,8
arizona-state-sun-devils,kansas-state-wildcats,35,19
arizona-state-sun-devils,louisiana-lafayette-ragin-cajuns,48,0
arizona-state-sun-devils,louisville-cardinals,45,4
arizona-state-sun-devils,lsu-tigers,5,55
arizona-state-sun-devils,marshall-thundering-herd,48,4
arizona-state-sun-devils,miami-fl-hurricanes,47,2
arizona-state-sun-devils,michigan-state-spartans,1,59
arizona-state-sun-devils,michigan-wolverines,48,3
arizona-state-sun-devils,mississippi-state-bulldogs,48,2
arizona-state-sun-devils,missouri-tigers,40,11
arizona-state-sun-devils,navy-midshipmen,48,0
arizona-state-sun-devils,nebraska-cornhuskers,38,17
arizona-state-sun-devils,nevada-wolf-pack,48,0
arizona-state-sun-devils,north-carolina-tar-heels,42,14
arizona-state-sun-devils,northwestern-wildcats,48,2
arizona-state-sun-devils,notre-dame-fighting-irish,21,38
arizona-state-sun-devils,ohio-state-buckeyes,0,60
arizona-state-sun-devils,oklahoma-sooners,0,60
arizona-state-sun-devils,oklahoma-state-cowboys,45,4
arizona-state-sun-devils,ole-miss-rebels,29,29
arizona-state-sun-devils,oregon-ducks,0,60
arizona-state-sun-devils,oregon-state-beavers,48,1
arizona-state-sun-devils,penn-state-nittany-lions,48,0
arizona-state-sun-devils,south-carolina-gamecocks,0,60
arizona-state-sun-devils,stanford-cardinal,0,60
arizona-state-sun-devils,tcu-horned-frogs,47,4
arizona-state-sun-devils,texas-am-aggies,36,19
arizona-state-sun-devils,texas-longhorns,47,4
arizona-state-sun-devils,texas-tech-red-raiders,48,4
arizona-state-sun-devils,ucf-knights,44,7
arizona-state-sun-devils,ucla-bruins,0,60
arizona-state-sun-devils,usc-trojans,6,54
arizona-state-sun-devils,utah-state-aggies,48,0
arizona-state-sun-devils,vanderbilt-commodores,48,0
arizona-state-sun-devils,virginia-tech-hokies,47,3
arizona-state-sun-devils,washington-huskies,47,6
arizona-state-sun-devils,wisconsin-badgers,8,51
auburn-tigers,baylor-bears,49,11
auburn-tigers,boise-state-broncos,60,0
auburn-tigers,byu-cougars,60,0
auburn-tigers,cincinnati-bearcats,60,0
auburn-tigers,clemson-tigers,60,0
auburn-tigers,duke-blue-devils,60,0
auburn-tigers,florida-gators,60,0
auburn-tigers,florida-state-seminoles,0,60
auburn-tigers,georgia-bulldogs,56,4
auburn-tigers,iowa-hawkeyes,60,0
auburn-tigers,kansas-state-wildcats,60,0
auburn-tigers,louisiana-lafayette-ragin-cajuns,60,0
auburn-tigers,louisville-cardinals,60,0
auburn-tigers,lsu-tigers,60,0
auburn-tigers,marshall-thundering-herd,60,0
auburn-tigers,miami-fl-hurricanes,60,0
auburn-tigers,michigan-state-spartans,46,14
auburn-tigers,michigan-wolverines,60,0
auburn-tigers,mississippi-state-bulldogs,60,0
auburn-tigers,missouri-tigers,60,0
auburn-tigers,navy-midshipmen,60,0
auburn-tigers,nebraska-cornhuskers,60,0
auburn-tigers,nevada-wolf-pack,60,0
auburn-tigers,north-carolina-tar-heels,60,0
auburn-tigers,northwestern-wildcats,60,0
auburn-tigers,notre-dame-fighting-irish,60,0
auburn-tigers,ohio-state-buckeyes,27,33
auburn-tigers,oklahoma-sooners,17,43
auburn-tigers,oklahoma-state-cowboys,60,0
auburn-tigers,ole-miss-rebels,60,0
auburn-tigers,oregon-ducks,8,52
auburn-tigers,oregon-state-beavers,60,0
auburn-tigers,penn-state-nittany-lions,60,0
auburn-tigers,south-carolina-gamecocks,51,9
auburn-tigers,stanford-cardinal,57,3
auburn-tigers,tcu-horned-frogs,60,0
auburn-tigers,texas-am-aggies,60,0
auburn-tigers,texas-longhorns,60,0
auburn-tigers,texas-tech-red-raiders,60,0
auburn-tigers,ucf-knights,60,0
auburn-tigers,ucla-bruins,40,20
auburn-tigers,usc-trojans,58,2
auburn-tigers,utah-state-aggies,60,0
auburn-tigers,vanderbilt-commodores,60,0
auburn-tigers,virginia-tech-hokies,60,0
auburn-tigers,washington-huskies,60,0
auburn-tigers,wisconsin-badgers,58,2
baylor-bears,boise-state-broncos,60,0
baylor-bears,byu-cougars,60,0
baylor-bears,cincinnati-bearcats,60,0
baylor-bears,clemson-tigers,56,4
baylor-bears,duke-blue-devils,60,0
baylor-bears,florida-gators,60,0
baylor-bears,florida-state-seminoles,0,60
baylor-bears,georgia-bulldogs,42,18
baylor-bears,iowa-hawkeyes,60,0
baylor-bears,kansas-state-wildcats,60,0
baylor-bears,louisiana-lafayette-ragin-cajuns,60,0
baylor-bears,louisville-cardinals,60,0
baylor-bears,lsu-tigers,54,6
baylor-bears,marshall-thundering-herd,60,0
baylor-bears,miami-fl-hurricanes,60,0
baylor-bears,michigan-state-spartans,13,47
baylor-bears,michigan-wolverines,60,0
baylor-bears,mississippi-state-bulldogs,60,0
baylor-bears,missouri-tigers,58,2
baylor-bears,navy-midshipmen,60,0
baylor-bears,nebraska-cornhuskers,60,0
baylor-bears,nevada-wolf-pack,60,0
baylor-bears,north-carolina-tar-heels,60,0
baylor-bears,northwestern-wildcats,60,0
baylor-bears,notre-dame-fighting-irish,60,0
baylor-bears,ohio-state-buckeyes,5,55
baylor-bears,oklahoma-sooners,4,56
baylor-bears,oklahoma-state-cowboys,60,0
baylor-bears,ole-miss-rebels,59,1
baylor-bears,oregon-ducks,0,60
baylor-bears,oregon-state-beavers,60,0
baylor-bears,penn-state-nittany-lions,60,0
baylor-bears,south-carolina-gamecocks,21,39
baylor-bears,stanford-cardinal,41,19
baylor-bears,tcu-horned-frogs,60,0
baylor-bears,texas-am-aggies,60,0
baylor-bears,texas-longhorns,60,0
baylor-bears,texas-tech-red-raiders,60,0
baylor-bears,ucf-knights,58,2
baylor-bears,ucla-bruins,7,53
baylor-bears,usc-trojans,59,1
baylor-bears,utah-state-aggies,60,0
baylor-bears,vanderbilt-commodores,60,0
baylor-bears,virginia-tech-hokies,60,0
baylor-bears,washington-huskies,60,0
baylor-bears,wisconsin-badgers,57,3
boise-state-broncos,byu-cougars,4,3
boise-state-broncos,cincinnati-bearcats,4,4
boise-state-broncos,clemson-tigers,1,59
boise-state-broncos,duke-blue-devils,4,21
boise-state-broncos,florida-gators,4,21
boise-state-broncos,florida-state-seminoles,0,60
boise-state-broncos,georgia-bulldogs,0,58
boise-state-broncos,iowa-hawkeyes,3,17
boise-state-broncos,kansas-state-wildcats,3,36
boise-state-broncos,louisiana-lafayette-ragin-cajuns,5,1
boise-state-broncos,louisville-cardinals,5,10
boise-state-broncos,lsu-tigers,0,60
boise-state-broncos,marshall-thundering-herd,2,11
boise-state-broncos,miami-fl-hurricanes,5,3
boise-state-broncos,michigan-state-spartans,0,60
boise-state-broncos,michigan-wolverines,5,5
boise-state-broncos,mississippi-state-bulldogs,5,7
boise-state-broncos,missouri-tigers,4,25
boise-state-broncos,navy-midshipmen,5,1
boise-state-broncos,nebraska-cornhuskers,2,36
boise-state-broncos,nevada-wolf-pack,5,1
boise-state-broncos,north-carolina-tar-heels,3,35
boise-state-broncos,northwestern-wildcats,5,1
boise-state-broncos,notre-dame-fighting-irish,1,53
boise-state-broncos,ohio-state-buckeyes,0,60
boise-state-broncos,oklahoma-sooners,0,60
boise-state-broncos,oklahoma-state-cowboys,5,8
boise-state-broncos,ole-miss-rebels,1,54
boise-state-broncos,oregon-ducks,0,60
boise-state-broncos,oregon-state-beavers,4,2
boise-state-broncos,penn-state-nittany-lions,5,2
boise-state-broncos,south-carolina-gamecocks,0,60
boise-state-broncos,stanford-cardinal,0,60
boise-state-broncos,tcu-horned-frogs,5,6
boise-state-broncos,texas-am-aggies,2,40
boise-state-broncos,texas-longhorns,5,23
boise-state-broncos,texas-tech-red-raiders,5,6
boise-state-broncos,ucf-knights,2,17
boise-state-broncos,ucla-bruins,0,60
boise-state-broncos,usc-trojans,0,59
boise-state-broncos,utah-state-aggies,5,1
boise-state-broncos,vanderbilt-commodores,5,1
boise-state-broncos,virginia-tech-hokies,4,4
boise-state-broncos,washington-huskies,4,35
boise-state-broncos,wisconsin-badgers,0,56
byu-cougars,cincinnati-bearcats,3,3
byu-cougars,clemson-tigers,0,59
byu-cougars,duke-blue-devils,2,22
byu-cougars,florida-gators,3,21
byu-cougars,florida-state-seminoles,0,60
byu-cougars,georgia-bulldogs,0,58
byu-cougars,iowa-hawkeyes,3,17
byu-cougars,kansas-state-wildcats,2,36
byu-cougars,louisiana-lafayette-ragin-cajuns,3,1
byu-cougars,louisville-cardinals,3,10
byu-cougars,lsu-tigers,0,60
byu-cougars,marshall-thundering-herd,2,10
byu-cougars,miami-fl-hurricanes,3,3
byu-cougars,michigan-state-spartans,0,60
byu-cougars,michigan-wolverines,2,5
byu-cougars,mississippi-state-bulldogs,3,7
byu-cougars,missouri-tigers,3,25
byu-cougars,navy-midshipmen,3,1
byu-cougars,nebraska-cornhuskers,1,36
byu-cougars,nevada-wolf-pack,3,1
byu-cougars,north-carolina-tar-heels,1,35
byu-cougars,northwestern-wildcats,3,2
byu-cougars,notre-dame-fighting-irish,0,54
byu-cougars,ohio-state-buckeyes,0,60
byu-cougars,oklahoma-sooners,0,60
byu-cougars,oklahoma-state-cowboys,3,8
byu-cougars,ole-miss-rebels,2,54
byu-cougars,oregon-ducks,0,60
byu-cougars,oregon-state-beavers,3,2
byu-cougars,penn-state-nittany-lions,3,2
byu-cougars,south-carolina-gamecocks,0,60
byu-cougars,stanford-cardinal,0,60
byu-cougars,tcu-horned-frogs,3,6
byu-cougars,texas-am-aggies,0,40
byu-cougars,texas-longhorns,2,23
byu-cougars,texas-tech-red-raiders,2,7
byu-cougars,ucf-knights,3,16
byu-cougars,ucla-bruins,0,60
byu-cougars,usc-trojans,0,59
byu-cougars,utah-state-aggies,3,1
byu-cougars,vanderbilt-commodores,3,1
byu-cougars,virginia-tech-hokies,3,4
byu-cougars,washington-huskies,3,35
byu-cougars,wisconsin-badgers,0,56
cincinnati-bearcats,clemson-tigers,0,59
cincinnati-bearcats,duke-blue-devils,2,21
cincinnati-bearcats,florida-gators,4,21
cincinnati-bearcats,florida-state-seminoles,0,60
cincinnati-bearcats,georgia-bulldogs,0,58
cincinnati-bearcats,iowa-hawkeyes,3,17
cincinnati-bearcats,kansas-state-wildcats,2,35
cincinnati-bearcats,louisiana-lafayette-ragin-cajuns,4,1
cincinnati-bearcats,louisville-cardinals,4,10
cincinnati-bearcats,lsu-tigers,0,60
cincinnati-bearcats,marshall-thundering-herd,3,11
cincinnati-bearcats,miami-fl-hurricanes,4,3
cincinnati-bearcats,michigan-state-spartans,0,60
cincinnati-bearcats,michigan-wolverines,3,5
cincinnati-bearcats,mississippi-state-bulldogs,4,7
cincinnati-bearcats,missouri-tigers,3,25
cincinnati-bearcats,navy-midshipmen,4,1
cincinnati-bearcats,nebraska-cornhuskers,1,36
cincinnati-bearcats,nevada-wolf-pack,4,1
cincinnati-bearcats,north-carolina-tar-heels,4,35
cincinnati-bearcats,northwestern-wildcats,4,2
cincinnati-bearcats,notre-dame-fighting-irish,1,54
cincinnati-bearcats,ohio-state-buckeyes,0,60
cincinnati-bearcats,oklahoma-sooners,0,60
cincinnati-bearcats,oklahoma-state-cowboys,4,7
cincinnati-bearcats,ole-miss-rebels,2,54
cincinnati-bearcats,oregon-ducks,0,60
cincinnati-bearcats,oregon-state-beavers,4,2
cincinnati-bearcats,penn-state-nittany-lions,4,2
cincinnati-bearcats,south-carolina-gamecocks,0,60
cincinnati-bearcats,stanford-cardinal,0,60
cincinnati-bearcats,tcu-horned-frogs,4,6
cincinnati-bearcats,texas-am-aggies,3,39
cincinnati-bearcats,texas-longhorns,4,22
cincinnati-bearcats,texas-tech-red-raiders,4,7
cincinnati-bearcats,ucf-knights,4,15
cincinnati-bearcats,ucla-bruins,0,60
cincinnati-bearcats,usc-trojans,1,58
cincinnati-bearcats,utah-state-aggies,4,1
cincinnati-bearcats,vanderbilt-commodores,4,1
cincinnati-bearcats,virginia-tech-hokies,4,3
cincinnati-bearcats,washington-huskies,3,35
cincinnati-bearcats,wisconsin-badgers,0,56
clemson-tigers,duke-blue-devils,58,2
clemson-tigers,florida-gators,54,5
clemson-tigers,florida-state-seminoles,0,60
clemson-tigers,georgia-bulldogs,7,53
clemson-tigers,iowa-hawkeyes,58,2
clemson-tigers,kansas-state-wildcats,50,9
clemson-tigers,louisiana-lafayette-ragin-cajuns,59,0
clemson-tigers,louisville-cardinals,59,0
clemson-tigers,lsu-tigers,7,53
clemson-tigers,marshall-thundering-herd,59,1
clemson-tigers,miami-fl-hurricanes,58,1
clemson-tigers,michigan-state-spartans,2,58
clemson-tigers,michigan-wolverines,59,0
clemson-tigers,mississippi-state-bulldogs,59,0
clemson-tigers,missouri-tigers,55,4
clemson-tigers,navy-midshipmen,59,0
clemson-tigers,nebraska-cornhuskers,47,12
clemson-tigers,nevada-wolf-pack,59,0
clemson-tigers,north-carolina-tar-heels,50,9
clemson-tigers,northwestern-wildcats,59,1
clemson-tigers,notre-dame-fighting-irish,35,25
clemson-tigers,ohio-state-buckeyes,3,57
clemson-tigers,oklahoma-sooners,0,60
clemson-tigers,oklahoma-state-cowboys,58,1
clemson-tigers,ole-miss-rebels,37,23
clemson-tigers,oregon-ducks,1,59
clemson-tigers,oregon-state-beavers,59,1
clemson-tigers,penn-state-nittany-lions,59,0
clemson-tigers,south-carolina-gamecocks,1,59
clemson-tigers,stanford-cardinal,4,56
clemson-tigers,tcu-horned-frogs,58,1
clemson-tigers,texas-am-aggies,49,10
clemson-tigers,texas-longhorns,56,3
clemson-tigers,texas-tech-red-raiders,59,1
clemson-tigers,ucf-knights,58,1
clemson-tigers,ucla-bruins,4,56
clemson-tigers,usc-trojans,19,41
clemson-tigers,utah-state-aggies,59,0
clemson-tigers,vanderbilt-commodores,59,0
clemson-tigers,virginia-tech-hokies,58,2
clemson-tigers,washington-huskies,58,1
clemson-tigers,wisconsin-badgers,17,43
duke-blue-devils,florida-gators,18,20
duke-blue-devils,florida-state-seminoles,0,60
duke-blue-devils,georgia-bulldogs,3,57
duke-blue-devils,iowa-hawkeyes,16,14
duke-blue-devils,kansas-state-wildcats,9,35
duke-blue-devils,louisiana-lafayette-ragin-cajuns,22,0
duke-blue-devils,louisville-cardinals,18,10
duke-blue-devils,lsu-tigers,1,59
duke-blue-devils,marshall-thundering-herd,18,9
duke-blue-devils,miami-fl-hurricanes,21,2
duke-blue-devils,michigan-state-spartans,0,60
duke-blue-devils,michigan-wolverines,19,5
duke-blue-devils,mississippi-state-bulldogs,21,6
duke-blue-devils,missouri-tigers,15,24
duke-blue-devils,navy-midshipmen,22,0
duke-blue-devils,nebraska-cornhuskers,10,34
duke-blue-devils,nevada-wolf-pack,22,1
duke-blue-devils,north-carolina-tar-heels,17,33
duke-blue-devils,northwestern-wildcats,21,2
duke-blue-devils,notre-dame-fighting-irish,6,50
duke-blue-devils,ohio-state-buckeyes,0,60
duke-blue-devils,oklahoma-sooners,0,60
duke-blue-devils,oklahoma-state-cowboys,19,7
duke-blue-devils,ole-miss-rebels,6,53
duke-blue-devils,oregon-ducks,0,60
duke-blue-devils,oregon-state-beavers,21,2
duke-blue-devils,penn-state-nittany-lions,22,2
duke-blue-devils,south-carolina-gamecocks,0,60
duke-blue-devils,stanford-cardinal,0,60
duke-blue-devils,tcu-horned-frogs,21,5
duke-blue-devils,texas-am-aggies,12,38
duke-blue-devils,texas-longhorns,16,22
duke-blue-devils,texas-tech-red-raiders,21,4
duke-blue-devils,ucf-knights,19,16
duke-blue-devils,ucla-bruins,0,60
duke-blue-devils,usc-trojans,3,57
duke-blue-devils,utah-state-aggies,22,1
duke-blue-devils,vanderbilt-commodores,22,0
duke-blue-devils,virginia-tech-hokies,21,3
duke-blue-devils,washington-huskies,16,32
duke-blue-devils,wisconsin-badgers,3,55
florida-gators,florida-state-seminoles,0,60
florida-gators,georgia-bulldogs,0,58
florida-gators,iowa-hawkeyes,18,12
florida-gators,kansas-state-wildcats,13,33
florida-gators,louisiana-lafayette-ragin-cajuns,21,1
florida-gators,louisville-cardinals,20,8
florida-gators,lsu-tigers,0,60
florida-gators,marshall-thundering-herd,21,8
florida-gators,miami-fl-hurricanes,21,3
florida-gators,michigan-state-spartans,0,60
florida-gators,michigan-wolverines,20,4
florida-gators,mississippi-state-bulldogs,19,5
florida-gators,missouri-tigers,18,21
florida-gators,navy-midshipmen,21,1
florida-gators,nebraska-cornhuskers,14,31
florida-gators,nevada-wolf-pack,21,1
florida-gators,north-carolina-tar-heels,9,33
florida-gators,northwestern-wildcats,20,2
florida-gators,notre-dame-fighting-irish,5,52
florida-gators,ohio-state-buckeyes,0,60
florida-gators,oklahoma-sooners,0,60
florida-gators,oklahoma-state-cowboys,21,8
