TeamA,TeamB,A>B,B>A
alabama-crimson-tide,arkansas-razorbacks,63,0
alabama-crimson-tide,cincinnati-bearcats,63,0
alabama-crimson-tide,clemson-tigers,5,58
alabama-crimson-tide,florida-state-seminoles,63,0
alabama-crimson-tide,georgia-bulldogs,0,63
alabama-crimson-tide,illinois-fighting-illini,63,0
alabama-crimson-tide,james-madison-dukes,63,0
alabama-crimson-tide,kansas-jayhawks,63,0
alabama-crimson-tide,kansas-state-wildcats,63,0
alabama-crimson-tide,kentucky-wildcats,63,0
alabama-crimson-tide,liberty-flames,63,0
alabama-crimson-tide,lsu-tigers,63,0
alabama-crimson-tide,maryland-terrapins,63,0
alabama-crimson-tide,michigan-wolverines,5,58
alabama-crimson-tide,minnesota-golden-gophers,63,0
alabama-crimson-tide,mississippi-state-bulldogs,63,0
alabama-crimson-tide,north-carolina-state-wolfpack,63,0
alabama-crimson-tide,north-carolina-tar-heels,63,0
alabama-crimson-tide,ohio-state-buckeyes,0,63
alabama-crimson-tide,oklahoma-state-cowboys,63,0
alabama-crimson-tide,ole-miss-rebels,47,16
alabama-crimson-tide,oregon-ducks,63,0
alabama-crimson-tide,oregon-state-beavers,63,0
alabama-crimson-tide,penn-state-nittany-lions,63,0
alabama-crimson-tide,purdue-boilermakers,63,0
alabama-crimson-tide,south-alabama-jaguars,63,0
alabama-crimson-tide,south-carolina-gamecocks,63,0
alabama-crimson-tide,syracuse-orange,63,0
alabama-crimson-tide,tcu-horned-frogs,46,17
alabama-crimson-tide,tennessee-volunteers,1,62
alabama-crimson-tide,texas-longhorns,63,0
alabama-crimson-tide,tulane-green-wave,63,0
alabama-crimson-tide,ucf-knights,63,0
alabama-crimson-tide,ucla-bruins,57,6
alabama-crimson-tide,usc-trojans,63,0
alabama-crimson-tide,utah-utes,63,0
alabama-crimson-tide,wake-forest-demon-deacons,63,0
arkansas-razorbacks,cincinnati-bearcats,1,54
arkansas-razorbacks,clemson-tigers,0,63
arkansas-razorbacks,florida-state-seminoles,1,1
arkansas-razorbacks,georgia-bulldogs,0,63
arkansas-razorbacks,illinois-fighting-illini,0,61
arkansas-razorbacks,james-madison-dukes,1,2
arkansas-razorbacks,kansas-jayhawks,1,8
arkansas-razorbacks,kansas-state-wildcats,0,63
arkansas-razorbacks,kentucky-wildcats,0,60
arkansas-razorbacks,liberty-flames,1,1
arkansas-razorbacks,lsu-tigers,1,27
arkansas-razorbacks,maryland-terrapins,0,2
arkansas-razorbacks,michigan-wolverines,0,63
arkansas-razorbacks,minnesota-golden-gophers,1,1
arkansas-razorbacks,mississippi-state-bulldogs,0,46
arkansas-razorbacks,north-carolina-state-wolfpack,1,43
arkansas-razorbacks,north-carolina-tar-heels,1,51
arkansas-razorbacks,ohio-state-buckeyes,0,63
arkansas-razorbacks,oklahoma-state-cowboys,0,63
arkansas-razorbacks,ole-miss-rebels,0,63
arkansas-razorbacks,oregon-ducks,0,63
arkansas-razorbacks,oregon-state-beavers,0,3
arkansas-razorbacks,penn-state-nittany-lions,0,62
arkansas-razorbacks,purdue-boilermakers,0,31
arkansas-razorbacks,south-alabama-jaguars,1,3
arkansas-razorbacks,south-carolina-gamecocks,1,4
arkansas-razorbacks,syracuse-orange,0,63
arkansas-razorbacks,tcu-horned-frogs,0,63
arkansas-razorbacks,tennessee-volunteers,0,63
arkansas-razorbacks,texas-longhorns,0,62
arkansas-razorbacks,tulane-green-wave,1,38
arkansas-razorbacks,ucf-knights,1,6
arkansas-razorbacks,ucla-bruins,0,63
arkansas-razorbacks,usc-trojans,0,63
arkansas-razorbacks,utah-utes,0,63
arkansas-razorbacks,wake-forest-demon-deacons,0,63
cincinnati-bearcats,clemson-tigers,0,63
cincinnati-bearcats,florida-state-seminoles,54,0
cincinnati-bearcats,georgia-bulldogs,0,63
cincinnati-bearcats,illinois-fighting-illini,20,43
cincinnati-bearcats,james-madison-dukes,54,1
cincinnati-bearcats,kansas-jayhawks,54,2
cincinnati-bearcats,kansas-state-wildcats,7,56
cincinnati-bearcats,kentucky-wildcats,22,41
cincinnati-bearcats,liberty-flames,54,0
cincinnati-bearcats,lsu-tigers,48,11
cincinnati-bearcats,maryland-terrapins,54,2
cincinnati-bearcats,michigan-wolverines,0,63
cincinnati-bearcats,minnesota-golden-gophers,54,0
cincinnati-bearcats,mississippi-state-bulldogs,45,17
cincinnati-bearcats,north-carolina-state-wolfpack,44,15
cincinnati-bearcats,north-carolina-tar-heels,44,15
cincinnati-bearcats,ohio-state-buckeyes,0,63
cincinnati-bearcats,oklahoma-state-cowboys,0,63
cincinnati-bearcats,ole-miss-rebels,0,63
cincinnati-bearcats,oregon-ducks,0,63
cincinnati-bearcats,oregon-state-beavers,54,1
cincinnati-bearcats,penn-state-nittany-lions,9,54
cincinnati-bearcats,purdue-boilermakers,50,10
cincinnati-bearcats,south-alabama-jaguars,54,0
cincinnati-bearcats,south-carolina-gamecocks,53,3
cincinnati-bearcats,syracuse-orange,4,59
cincinnati-bearcats,tcu-horned-frogs,0,63
cincinnati-bearcats,tennessee-volunteers,0,63
cincinnati-bearcats,texas-longhorns,31,32
cincinnati-bearcats,tulane-green-wave,48,12
cincinnati-bearcats,ucf-knights,54,1
cincinnati-bearcats,ucla-bruins,0,63
cincinnati-bearcats,usc-trojans,0,63
cincinnati-bearcats,utah-utes,4,59
cincinnati-bearcats,wake-forest-demon-deacons,0,63
clemson-tigers,florida-state-seminoles,63,0
clemson-tigers,georgia-bulldogs,1,62
